size,time,stream,seq,pipe,mode
16,1,1,0.0127668,0.0122232,cc
16,1,2,0.0137706,0.0121862,cc
16,1,4,0.015782400000000002,0.0124112,cc
16,1,8,0.0198662,0.012560000000000002,cc
16,1,16,0.027983200000000003,0.014724199999999998,cc
16,1,32,0.0445896,0.0231338,cc
16,1,64,0.07728779999999999,0.0412862,cc
16,10,1,0.0218152,0.021388799999999996,cc
16,10,2,0.0320052,0.021420799999999997,cc
16,10,4,0.0525084,0.029033399999999997,cc
16,10,8,0.0935098,0.048144599999999996,cc
16,10,16,0.17548939999999996,0.0885248,cc
16,10,32,0.3393938,0.1704938,cc
16,10,64,0.6672790000000001,0.3343098,cc
16,100,1,0.1140672,0.11366079999999998,cc
16,100,2,0.21639219999999998,0.11360860000000002,cc
16,100,4,0.42123720000000003,0.21343779999999998,cc
16,100,8,0.8310286,0.41695460000000006,cc
16,100,16,1.6507026,0.8261726000000001,cc
16,100,32,3.2898588,1.645675,cc
16,100,64,6.567738800000001,3.284446,cc
512,1,1,0.4107214,0.41005400000000003,cc
512,1,2,0.410697,0.41110620000000003,cc
512,1,4,0.41445619999999994,0.41203579999999995,cc
512,1,8,0.4190728,0.41142219999999996,cc
512,1,16,0.426222,0.41216880000000006,cc
512,1,32,0.44362579999999996,0.41426240000000003,cc
512,1,64,0.4771612,0.4170756,cc
512,10,1,0.4202432,0.42196820000000007,cc
512,10,2,0.43036259999999993,0.42263459999999997,cc
512,10,4,0.45058679999999995,0.4213738,cc
512,10,8,0.494255,0.4235456,cc
512,10,16,0.5768106000000001,0.42426879999999995,cc
512,10,32,0.7404974,0.42488019999999993,cc
512,10,64,1.0681501999999998,0.5329542,cc
512,100,1,0.5191934,0.513819,cc
512,100,2,0.6211070000000001,0.5151582,cc
512,100,4,0.8210048000000001,0.5152441999999999,cc
512,100,8,1.2330616,0.6635669999999999,cc
512,100,16,2.0584726,1.0484184,cc
512,100,32,3.6915684,1.8533979999999999,cc
512,100,64,6.969083800000002,3.4827226000000002,cc
1024,1,1,0.8287204000000001,0.8290344000000001,cc
1024,1,2,0.8331162000000001,0.832073,cc
1024,1,4,0.8328514,0.8314220000000001,cc
1024,1,8,0.8422957999999999,0.8311738,cc
1024,1,16,0.8462555999999999,0.8307865999999999,cc
1024,1,32,0.8591580000000001,0.8311632,cc
1024,1,64,0.8937428000000001,0.8439624,cc
1024,10,1,0.8386442000000001,0.8358283999999999,cc
1024,10,2,0.8470077999999999,0.8355652000000001,cc
1024,10,4,0.8706303999999999,0.8403465999999999,cc
1024,10,8,0.916681,0.8410904,cc
1024,10,16,1.0012064,0.8439074,cc
1024,10,32,1.162479,0.8432804,cc
1024,10,64,1.5070008,0.8667952,cc
1024,100,1,0.9470262,0.9542938,cc
1024,100,2,1.0330862,0.9295557999999999,cc
1024,100,4,1.2436178,0.9320824,cc
1024,100,8,1.6476016000000002,0.9337926,cc
1024,100,16,2.4664851999999997,1.2759306,cc
1024,100,32,4.1072386,2.0684676000000004,cc
1024,100,64,7.3942858000000005,3.6885869999999996,cc
16,1,1,0.0020644,0.0018884000000000001,base
16,1,2,0.0030803999999999996,0.001702,base
16,1,4,0.0051482,0.0023936,base
16,1,8,0.0092478,0.0042898,base
16,1,16,0.017454200000000003,0.0083288,base
16,1,32,0.033872799999999995,0.0165736,base
16,1,64,0.0667462,0.032967800000000005,base
16,10,1,0.011264800000000002,0.0111046,base
16,10,2,0.0214936,0.010919,base
16,10,4,0.041994399999999994,0.0208652,base
16,10,8,0.0829936,0.0411498,base
16,10,16,0.1649584,0.0820968,base
16,10,32,0.32887279999999997,0.1640602,base
16,10,64,0.6567646,0.32798800000000006,base
16,100,1,0.10346739999999999,0.1033002,base
16,100,2,0.20589239999999998,0.10312239999999999,base
16,100,4,0.41078279999999995,0.2052232,base
16,100,8,0.8205418,0.4099476,base
16,100,16,1.6400616,0.8196876000000002,base
16,100,32,3.2791102000000003,1.6391483999999998,base
16,100,64,6.556888000000001,3.2777526000000003,base
512,1,1,0.0262872,0.026062400000000003,base
512,1,2,0.027305199999999995,0.0199818,base
512,1,4,0.0293732,0.0170912,base
512,1,8,0.0334662,0.015653,base
512,1,16,0.041693999999999995,0.014913399999999999,base
512,1,32,0.0581082,0.017689,base
512,1,64,0.09094179999999999,0.0331962,base
512,10,1,0.03550180000000001,0.0352976,base
512,10,2,0.045743,0.0293244,base
512,10,4,0.06623480000000001,0.030237999999999998,base
512,10,8,0.10721620000000001,0.0459054,base
512,10,16,0.188848,0.08445500000000002,base
512,10,32,0.352941,0.16516199999999998,base
512,10,64,0.6809495999999999,0.327977,base
512,100,1,0.127698,0.1274536,base
512,100,2,0.23012740000000004,0.1214726,base
512,100,4,0.4350032,0.2146334,base
512,100,8,0.8447762000000001,0.4146936,base
512,100,16,1.6643162,0.8220143999999999,base
512,100,32,3.3033957999999997,1.6403075999999999,base
512,100,64,6.581205800000001,3.2784734,base
1024,1,1,0.051222000000000004,0.051014399999999994,base
1024,1,2,0.052262600000000006,0.0388754,base
1024,1,4,0.054369600000000004,0.0329602,base
1024,1,8,0.0585382,0.0302458,base
1024,1,16,0.06676199999999999,0.028776600000000003,base
1024,1,32,0.08317240000000001,0.0280918,base
1024,1,64,0.11580140000000001,0.0334622,base
1024,10,1,0.060544799999999996,0.0602486,base
1024,10,2,0.0707836,0.0482506,base
1024,10,4,0.0912582,0.042441,base
1024,10,8,0.13227320000000004,0.0508474,base
1024,10,16,0.2142414,0.08691839999999999,base
1024,10,32,0.37819719999999996,0.1664358,base
1024,10,64,0.7060712,0.3286926,base
1024,100,1,0.1527572,0.152483,base
1024,100,2,0.2552174,0.1405162,base
1024,100,4,0.46010159999999994,0.22437200000000002,base
1024,100,8,0.8697650000000001,0.419577,base
1024,100,16,1.689276,0.824451,base
1024,100,32,3.3283496,1.6415203999999999,base
1024,100,64,6.605851599999999,3.2788156,base